,A_MARITL,A_SEX,A_HGA,A_AGE,PEAFEVER,PEARNVAL
42940,7,2,43,35,2,38500
42941,5,1,41,58,1,109000
42942,1,1,39,66,2,100
42943,1,2,43,56,2,35000
42944,1,1,42,41,2,79000
42945,1,2,42,35,2,48000
42946,7,1,0,11,-1,0
42947,5,2,39,66,2,56000
42948,5,1,40,63,2,50000
42949,1,2,39,47,2,-9999
42950,1,1,40,49,2,36000
42951,7,2,40,20,2,15000
42952,1,2,39,79,2,0
42953,1,1,44,80,2,0
42954,1,2,39,52,2,24000
42955,1,1,39,49,2,100000
42956,7,2,35,16,-1,5600
42957,5,2,43,69,2,0
42958,5,2,41,43,2,28485
42959,7,1,40,21,2,14000
42960,7,1,35,16,-1,0
42961,1,1,40,61,2,61999
42962,1,2,40,61,2,15000
42963,1,1,43,28,2,36000
42964,1,2,43,28,2,45823
42965,7,2,0,0,-1,0
42966,1,1,40,80,1,0
42967,1,2,40,74,2,0
42968,7,2,43,62,2,40000
42969,4,2,39,85,2,0
42970,4,2,43,61,2,60000
42971,5,1,39,72,1,280
42972,1,2,44,31,2,58000
42973,1,1,39,32,2,40000
42974,7,1,0,2,-1,0
42975,7,2,0,0,-1,0
42976,1,1,39,35,2,3000
42977,1,2,43,48,2,1500
42978,7,2,37,17,2,0
42979,7,1,37,16,-1,0
42980,7,1,0,14,-1,0
42981,7,1,0,13,-1,0
42982,7,1,0,9,-1,0
42983,7,2,0,7,-1,0
42984,1,1,43,38,2,75000
42985,1,2,40,38,2,0
42986,7,1,0,12,-1,0
42987,7,2,0,11,-1,0
42988,7,1,0,10,-1,0
42989,7,2,44,46,2,123000
42990,5,1,39,57,2,20000
42991,1,1,43,53,1,194999
42992,1,2,40,50,2,35000
42993,1,2,43,35,2,60000
42994,1,1,43,34,2,64000
42995,7,2,0,7,-1,0
42996,1,1,43,32,2,73500
42997,1,2,43,30,2,0
42998,7,2,0,8,-1,0
42999,7,1,0,6,-1,0
43000,7,1,0,4,-1,0
43001,7,1,0,2,-1,0
43002,1,1,43,38,2,70000
43003,1,2,43,39,2,9000
43004,7,2,0,13,-1,0
43005,7,1,0,11,-1,0
43006,7,2,0,6,-1,0
43007,7,2,41,60,2,30000
43008,4,2,39,79,2,33000
43009,7,2,39,38,2,0
43010,7,1,0,13,-1,0
43011,7,1,39,40,2,75000
43012,1,2,44,47,2,88500
43013,1,1,39,51,1,60000
43014,7,1,35,16,-1,1190
43015,7,1,35,16,-1,0
43016,7,2,0,8,-1,0
43017,5,1,39,85,1,0
43018,7,2,40,22,2,0
43019,6,2,42,63,2,24676
43020,5,2,39,66,2,0
43021,1,2,39,73,2,7000
43022,1,1,39,75,2,10000
43023,1,2,39,42,2,52000
43024,1,2,41,37,2,0
43025,1,2,39,42,2,0
43026,1,1,39,48,2,49000
43027,7,1,0,14,-1,0
43028,7,1,0,12,-1,0
43029,7,1,0,10,-1,0
43030,7,2,0,2,-1,0
43031,1,1,43,66,2,0
43032,1,2,43,67,2,0
43033,4,1,40,85,2,0
43034,1,2,39,70,2,0
43035,1,1,44,65,2,78800
43036,1,1,43,61,2,92000
43037,1,2,43,59,2,27000
43038,1,2,44,69,2,17000
43039,1,1,43,73,2,125000
43040,4,2,39,62,2,0
43041,5,2,39,41,2,500
43042,1,1,40,54,2,75000
43043,1,2,40,55,2,0
43044,7,2,43,27,2,44000
43045,7,2,43,25,2,43502
43046,7,1,40,22,2,0
43047,5,1,43,54,2,150000
43048,7,1,0,8,-1,0
43049,5,1,39,39,2,53809
43050,7,2,0,10,-1,0
43051,7,2,0,7,-1,0
43052,7,1,0,5,-1,0
43053,1,2,39,42,2,28000
43054,1,1,41,44,2,0
43055,7,1,39,26,2,42000
43056,7,1,39,32,2,25000
43057,5,1,42,55,2,40000
43058,7,2,39,18,2,20000
43059,4,2,39,85,2,0
43060,5,2,41,49,2,50000
43061,7,2,39,20,2,24000
43062,7,1,36,17,2,0
43063,3,2,39,68,2,0
43064,5,2,39,30,2,25000
43065,7,1,0,7,-1,0
43066,7,2,0,6,-1,0
43067,5,2,39,45,2,0
43068,1,2,43,29,2,45000
43069,1,1,40,33,2,45000
43070,7,2,0,9,-1,0
43071,7,1,0,7,-1,0
43072,7,2,0,5,-1,0
43073,7,2,0,4,-1,0
43074,7,1,0,1,-1,0
43075,7,2,42,43,2,35000
43076,7,2,0,14,-1,0
43077,7,1,0,11,-1,0
43078,7,1,39,43,2,55000
43079,5,1,40,50,2,50000
43080,7,1,39,17,2,19000
43081,5,1,43,47,2,35000
43082,7,2,39,19,2,0
43083,7,2,36,18,2,0
43084,7,1,0,14,-1,0
43085,5,2,42,37,2,40000
43086,7,1,35,16,-1,0
43087,1,2,43,32,2,30000
43088,1,1,42,30,2,43000
43089,7,2,0,4,-1,0
43090,4,1,39,72,1,0
43091,6,1,36,40,2,40000
43092,7,1,34,15,-1,0
43093,4,2,32,62,2,0
43094,7,2,40,19,2,20000
43095,6,1,33,65,2,80000
43096,7,1,38,22,2,0
43097,7,1,39,42,2,83200
43098,7,1,35,15,-1,0
43099,7,2,0,7,-1,0
43100,7,2,39,41,2,65000
43101,7,2,39,55,2,21500
43102,7,1,0,10,-1,0
43103,7,1,0,9,-1,0
43104,7,1,0,8,-1,0
43105,7,2,37,33,2,16000
43106,7,1,0,8,-1,0
43107,7,1,0,0,-1,0
43108,1,1,39,54,2,80000
43109,1,2,39,43,2,18000
43110,7,2,0,14,-1,0
43111,1,2,34,36,2,0
43112,1,1,39,36,2,60000
43113,7,2,0,10,-1,0
43114,7,1,0,8,-1,0
43115,7,1,42,38,2,40000
43116,7,2,36,16,-1,0
43117,7,1,0,13,-1,0
43118,7,2,0,10,-1,0
43119,7,2,42,39,2,15000
43120,7,1,42,27,2,15000
43121,7,1,39,36,2,48000
43122,3,1,43,29,2,55000
43123,5,1,39,46,2,35000
43124,7,1,40,19,2,27000
43125,5,2,40,85,2,0
43126,5,1,43,62,2,0
43127,5,2,40,68,2,0
43128,6,2,39,34,2,18000
43129,7,2,0,7,-1,0
43130,5,1,40,54,2,60000
43131,1,1,39,85,2,0
43132,1,2,39,80,2,0
43133,5,1,41,63,2,60000
43134,1,2,39,36,2,34000
43135,1,1,39,40,2,35000
43136,7,1,0,14,-1,0
43137,7,1,0,12,-1,0
43138,7,2,0,10,-1,0
43139,7,2,0,6,-1,0
43140,1,1,41,61,2,0
43141,1,2,42,59,2,0
43142,1,1,37,49,2,60000
43143,1,2,39,53,2,30000
43144,7,2,39,26,2,7200
43145,7,2,0,5,-1,0
43146,7,1,0,2,-1,0
43147,5,1,39,76,1,0
43148,1,2,41,67,2,0
43149,1,1,40,72,1,0
43150,7,1,0,14,-1,0
43151,7,1,0,12,-1,0
43152,7,2,40,30,2,25000
43153,7,2,40,24,2,20000
43154,7,1,39,23,2,55000
43155,1,2,43,48,2,71000
43156,1,1,39,44,2,70000
43157,7,2,43,23,2,26400
43158,1,2,43,34,2,75000
43159,1,1,40,34,1,5000
43160,7,1,0,9,-1,0
43161,7,2,0,6,-1,0
43162,1,2,41,51,2,0
43163,1,1,40,55,2,85000
43164,7,2,0,11,-1,0
43165,7,1,40,47,2,36000
43166,4,2,39,65,2,0
43167,7,1,39,23,2,28000
43168,1,2,46,31,2,100000
43169,1,1,43,32,2,75000
43170,7,1,0,2,-1,0
43171,7,2,0,0,-1,0
43172,5,2,39,67,2,0
43173,7,2,36,21,2,3000
43174,7,1,0,3,-1,0
43175,7,1,0,0,-1,0
43176,5,2,39,46,2,0
43177,5,1,41,56,2,107000
43178,7,2,0,10,-1,0
43179,7,1,0,7,-1,0
43180,7,2,41,30,2,52000
43181,5,2,39,47,2,62000
43182,7,1,39,57,1,54400
43183,1,1,35,37,2,12000
43184,1,2,34,25,2,0
43185,7,2,0,9,-1,0
43186,7,1,0,7,-1,0
43187,7,1,0,5,-1,0
43188,7,1,0,2,-1,0
43189,1,2,39,30,2,35000
43190,1,1,40,30,1,60000
43191,7,2,0,10,-1,0
43192,7,1,0,8,-1,0
43193,7,1,0,4,-1,0
43194,1,1,37,40,2,25000
43195,1,2,40,26,2,0
43196,7,1,0,9,-1,0
43197,7,1,0,6,-1,0
43198,7,1,0,0,-1,0
43199,5,1,32,57,2,54000
43200,5,1,39,39,1,52000
43201,7,1,37,18,2,12000
43202,7,2,35,15,-1,0
43203,7,1,0,3,-1,0
43204,1,1,43,43,2,175000
43205,1,2,42,42,2,66000
43206,7,2,40,20,2,4100
43207,7,2,37,18,2,11158
43208,1,2,44,40,2,80000
43209,1,1,43,39,2,65000
43210,7,1,36,15,-1,0
43211,7,1,0,13,-1,0
43212,7,2,0,6,-1,0
43213,7,2,39,30,2,28300
43214,7,2,0,8,-1,0
43215,7,2,0,2,-1,0
43216,6,2,40,56,2,0
43217,7,1,39,39,2,52000
43218,1,2,40,61,2,0
43219,1,1,41,49,2,0
43220,5,2,43,60,2,60000
43221,7,2,40,25,2,25000
43222,7,2,0,0,-1,0
43223,1,1,40,51,2,68000
43224,1,2,39,43,2,25000
43225,7,1,39,15,-1,0
43226,1,1,39,65,2,2000
43227,1,2,39,67,2,0
43228,7,2,43,33,2,54000
43229,7,1,39,33,2,25000
43230,7,2,42,29,2,25000
43231,5,1,39,43,2,58000
43232,1,1,39,59,2,100001
43233,1,2,39,60,2,17000
43234,5,2,42,70,2,20000
43235,1,1,39,28,2,61302
43236,1,2,39,28,2,30000
43237,7,1,0,1,-1,0
43238,7,1,43,35,2,33000
43239,3,1,39,67,1,26700
43240,1,1,39,68,2,0
43241,1,2,39,64,2,0
43242,7,2,39,66,2,0
43243,7,2,39,68,2,0
43244,7,1,43,32,1,41000
43245,1,1,44,64,2,65000
43246,1,2,43,62,2,29000
43247,4,1,44,80,1,0
43248,1,1,44,50,2,25000
43249,1,2,43,48,2,0
43250,7,1,43,24,2,0
43251,7,1,40,20,2,0
43252,7,2,38,17,2,0
43253,7,2,0,13,-1,0
43254,7,1,43,29,2,44000
43255,7,1,39,51,2,18000
43256,7,2,40,26,2,26000
43257,1,2,43,38,2,80000
43258,1,1,42,41,2,0
43259,7,2,0,7,-1,0
43260,7,1,0,3,-1,0
43261,1,1,39,56,2,76000
43262,1,2,39,55,2,55000
43263,7,1,39,22,2,60002
43264,7,2,39,21,2,2100
43265,1,1,42,46,2,59000
43266,1,2,41,45,2,40000
43267,7,2,40,19,2,0
43268,7,1,35,15,-1,0
43269,1,1,39,54,2,80000
43270,1,2,39,46,2,41000
43271,1,2,46,71,2,0
43272,1,1,43,73,2,250000
43273,1,2,42,48,2,42120
43274,1,1,42,51,1,21000
43275,7,1,40,19,2,0
43276,7,2,37,17,2,0
43277,7,1,0,6,-1,0
43278,5,1,39,70,1,0
43279,5,1,38,54,2,43200
43280,1,1,43,38,2,70000
43281,1,2,44,37,2,62000
43282,7,1,0,10,-1,0
43283,7,2,0,9,-1,0
43284,7,1,39,23,2,48000
43285,7,2,39,20,2,0
43286,7,2,0,2,-1,0
43287,4,2,43,53,2,56000
43288,7,2,0,5,-1,0
43289,7,1,0,3,-1,0
43290,1,1,39,79,1,0
43291,1,2,39,76,2,0
43292,1,2,39,47,2,11677
43293,1,1,39,47,2,45061
43294,7,1,35,16,-1,0
43295,1,2,43,56,2,100000
43296,1,1,43,63,2,77100
43297,7,1,41,23,2,28800
43298,7,1,41,27,2,30000
43299,1,2,43,46,2,48000
43300,1,1,42,52,2,92000
43301,7,1,0,13,-1,0
43302,7,1,0,11,-1,0
43303,4,2,39,79,2,0
43304,7,1,0,6,-1,0
43305,7,2,35,16,-1,0
43306,7,1,0,14,-1,0
43307,7,1,0,13,-1,0
43308,7,1,0,13,-1,0
43309,5,1,39,71,1,71000
43310,5,2,40,63,2,0
43311,5,2,39,41,2,0
43312,7,1,43,45,2,135000
43313,7,1,39,64,2,5000
43314,7,2,39,61,2,18000
43315,7,2,37,17,2,0
43316,7,2,0,2,-1,0
43317,7,2,43,40,2,61000
43318,4,1,43,71,1,0
43319,1,1,43,85,1,1730
43320,1,2,39,85,2,0
43321,1,1,43,72,1,18000
43322,1,2,39,48,2,0
43323,5,1,39,59,2,40000
43324,7,1,39,49,2,35000
43325,4,2,39,49,2,10000
43326,5,2,40,59,2,0
43327,1,1,44,49,2,102000
43328,1,2,43,50,2,26000
43329,7,1,36,16,-1,0
43330,1,1,39,62,2,0
43331,1,2,39,66,2,54844
43332,7,1,42,31,2,35000
43333,7,2,43,24,2,48000
43334,4,2,39,58,2,40000
43335,5,1,34,80,1,60000
43336,7,2,43,30,2,41000
43337,1,2,43,46,2,30000
43338,1,1,42,47,2,48000
43339,7,2,35,15,-1,0
43340,7,1,0,13,-1,0
43341,7,1,40,28,2,75000
43342,5,2,42,62,2,16045
43343,7,1,36,21,2,20212
43344,7,1,39,20,2,15000
43345,5,2,41,66,2,89000
43346,5,1,39,65,2,0
43347,1,2,39,53,2,40000
43348,1,1,39,55,2,60000
43349,7,1,39,32,2,20000
43350,7,2,36,30,2,12000
43351,7,1,0,9,-1,0
43352,7,2,40,19,2,17000
43353,7,1,42,23,2,28000
43354,7,1,43,24,2,3000
43355,1,2,44,60,2,150000
43356,1,1,43,59,2,0
43357,5,2,43,50,2,48000
43358,7,1,39,49,2,87500
43359,5,1,39,59,2,0
43360,7,1,39,49,2,0
43361,7,1,39,24,2,38000
43362,5,2,42,66,2,40000
43363,7,2,42,40,2,0
43364,5,1,39,58,2,0
43365,7,1,40,21,2,35000
43366,7,1,43,24,2,0
43367,1,1,44,49,2,0
43368,1,2,43,50,2,0
43369,1,2,40,48,2,100000
43370,1,1,40,48,2,27200
43371,1,1,40,48,2,38000
43372,1,2,40,48,2,50000
43373,7,1,0,14,-1,0
43374,1,1,43,38,2,64000
43375,1,2,42,36,2,2000
43376,7,1,0,13,-1,0
43377,7,2,0,10,-1,0
43378,7,2,0,7,-1,0
43379,5,2,44,59,2,16500
43380,1,2,41,51,2,50000
43381,1,1,40,52,2,60000
43382,7,2,40,22,2,10000
43383,7,1,35,16,-1,0
43384,7,2,0,14,-1,0
43385,7,1,0,11,-1,0
43386,7,2,0,8,-1,0
43387,1,1,43,85,2,0
43388,1,2,42,75,2,0
43389,5,2,41,66,2,3000
43390,4,2,39,85,2,0
43391,7,1,39,20,2,8300
43392,7,2,37,18,2,7000
43393,1,1,35,41,2,3
43394,1,2,35,37,2,30000
43395,7,2,0,11,-1,0
43396,7,2,0,9,-1,0
43397,1,2,41,48,2,52000
43398,1,1,43,49,2,338000
43399,7,2,43,22,2,20000
43400,7,1,36,16,-1,0
43401,1,2,39,48,2,90000
43402,1,1,39,45,2,75000
43403,7,2,0,14,-1,0
43404,7,2,0,12,-1,0
43405,7,1,0,10,-1,0
43406,5,2,40,47,2,35000
43407,7,1,0,13,-1,0
43408,7,2,0,11,-1,0
43409,1,2,46,53,2,98000
43410,1,1,43,52,2,24000
43411,7,1,40,19,2,20000
43412,7,2,37,17,2,0
43413,1,1,37,53,2,0
43414,1,2,39,52,2,0
43415,5,1,37,50,2,0
43416,1,1,43,55,2,38000
43417,1,2,39,44,2,12000
43418,7,2,35,15,-1,0
43419,7,2,0,12,-1,0
43420,7,2,0,11,-1,0
43421,7,1,39,34,2,41000
43422,7,1,43,80,2,0
43423,1,2,43,36,2,8000
43424,1,1,45,38,2,500000
43425,7,1,0,5,-1,0
43426,7,2,0,2,-1,0
43427,1,1,45,36,2,103000
43428,1,2,43,38,2,15400
43429,7,1,0,8,-1,0
43430,7,1,0,9,-1,0
43431,7,1,0,8,-1,0
43432,1,2,44,46,2,55000
43433,1,1,44,49,2,90000
43434,7,1,36,17,2,0
43435,1,2,44,36,2,76200
43436,1,1,40,41,2,93000
43437,7,2,0,4,-1,0
43438,7,1,0,2,-1,0
43439,1,1,39,65,2,0
43440,1,2,39,62,2,0
43441,7,2,40,39,2,52964
43442,4,2,41,73,2,0
43443,5,1,43,67,2,0
43444,7,1,40,33,2,0
43445,7,2,37,61,2,0
43446,7,2,31,62,2,0
43447,1,1,40,73,1,0
43448,1,2,40,66,2,0
43449,5,2,36,64,2,0
43450,5,1,40,56,2,4000
43451,5,2,42,55,2,25000
43452,7,2,43,27,2,0
43453,5,1,39,68,2,0
43454,7,1,40,26,2,0
43455,7,1,40,26,2,0
43456,7,1,40,26,2,0
43457,1,2,39,50,2,0
43458,1,1,39,54,1,17500
43459,7,2,43,28,2,22000
43460,4,2,39,70,2,0
43461,7,1,40,29,2,15000
43462,1,1,39,75,2,0
43463,1,2,39,70,2,0
43464,1,2,44,39,2,180000
43465,1,1,44,44,2,30000
43466,1,1,44,50,2,130000
43467,1,2,46,46,2,28000
43468,7,1,40,18,2,0
43469,7,1,35,15,-1,0
43470,7,1,0,13,-1,0
43471,1,1,46,80,2,0
43472,1,2,43,75,2,0
43473,7,2,39,60,2,0
43474,1,2,43,64,2,0
43475,1,1,43,62,2,0
43476,7,1,40,38,2,3840
43477,7,2,0,10,-1,0
43478,1,1,45,55,2,190000
43479,1,2,43,54,2,28500
43480,7,1,35,16,-1,0
43481,5,1,43,37,2,114000
43482,7,2,0,5,-1,0
43483,3,2,43,65,2,65000
43484,7,1,40,30,2,4850
43485,5,2,40,35,2,28000
43486,5,2,39,38,2,50000
43487,7,1,0,11,-1,0
43488,7,2,0,5,-1,0
43489,7,2,42,52,2,30002
43490,7,1,40,31,2,3500
43491,7,1,42,23,2,59000
43492,7,2,40,24,2,24000
43493,1,2,43,72,2,0
43494,1,1,42,74,2,45000
43495,7,1,40,33,2,3900
43496,5,2,44,57,2,0
43497,7,2,42,23,2,10000
43498,1,1,43,33,2,99000
43499,1,2,43,33,2,0
43500,7,1,0,11,-1,0
43501,7,1,0,6,-1,0
43502,7,1,0,1,-1,0
43503,7,1,43,40,2,25000
43504,7,1,40,38,2,75000
43505,7,1,35,15,-1,0
43506,7,1,0,11,-1,0
43507,7,1,0,9,-1,0
43508,1,1,44,61,1,0
43509,1,2,42,55,2,72000
43510,1,2,40,56,2,21000
43511,1,1,37,57,2,0
43512,7,2,40,31,2,0
43513,5,2,44,45,2,71002
43514,7,1,39,18,2,13000
43515,1,1,44,56,2,70000
43516,1,2,43,53,2,55000
43517,7,2,40,21,2,4800
43518,7,2,40,18,2,2496
43519,1,2,39,53,2,6000
43520,1,1,44,52,2,150000
43521,7,2,43,22,2,14000
43522,7,1,36,18,2,8000
43523,7,2,0,13,-1,0
43524,6,2,40,26,2,19000
43525,7,2,0,6,-1,0
43526,7,2,0,2,-1,0
43527,1,1,40,36,2,3100
43528,1,1,43,41,2,60000
43529,7,1,0,7,-1,0
43530,7,1,0,4,-1,0
43531,4,2,40,38,2,2400
43532,7,1,37,17,2,0
43533,7,2,35,15,-1,0
43534,1,1,44,44,2,100000
43535,1,2,44,39,2,100000
43536,7,2,0,14,-1,0
43537,7,2,0,6,-1,0
43538,7,2,0,3,-1,0
43539,1,1,39,40,2,75000
43540,1,2,43,36,2,50000
43541,7,1,0,9,-1,0
43542,7,2,0,7,-1,0
43543,5,2,43,46,2,50000
43544,7,2,34,15,-1,0
43545,1,1,42,32,2,50000
43546,1,2,42,30,2,60000
43547,7,2,0,6,-1,0
43548,7,1,0,1,-1,0
43549,7,1,43,24,2,68000
43550,7,2,43,25,2,55000
43551,7,1,43,54,1,36000
43552,4,1,39,70,2,0
43553,7,2,43,27,2,40000
43554,7,2,43,37,2,21000
43555,7,1,40,46,2,28000
43556,7,1,39,71,1,60000
43557,7,1,39,21,2,40000
43558,7,2,0,5,-1,0
43559,7,2,39,20,2,20000
43560,1,2,39,85,2,0
43561,1,1,39,85,1,0
43562,5,1,39,72,2,0
43563,1,1,39,65,2,0
43564,1,2,39,76,2,0
43565,1,1,39,74,1,0
43566,1,2,39,75,2,0
43567,4,1,41,47,1,77000
43568,5,2,43,41,2,0
43569,7,1,38,18,2,0
43570,5,2,39,48,2,23000
43571,5,1,39,46,2,45000
43572,1,1,39,41,2,75000
43573,1,2,39,40,2,25000
43574,7,1,39,19,2,10000
43575,7,1,0,12,-1,0
43576,7,2,39,26,2,0
43577,5,2,39,41,2,20000
43578,7,1,43,30,2,150000
43579,1,2,42,46,2,18000
43580,1,1,46,46,2,135000
43581,7,1,36,17,2,0
43582,7,2,35,16,-1,0
43583,1,2,40,49,2,111000
43584,1,1,39,63,2,120000
43585,7,1,39,19,2,440
43586,7,2,0,12,-1,0
43587,1,2,44,40,2,62000
43588,1,1,46,41,2,80000
43589,7,1,0,13,-1,0
43590,7,2,0,9,-1,0
43591,1,1,39,43,2,90000
43592,1,2,43,38,2,36000
43593,7,2,0,8,-1,0
43594,1,1,39,39,2,90000
43595,1,2,39,33,2,0
43596,7,2,0,7,-1,0
43597,7,2,0,2,-1,0
43598,7,2,0,2,-1,0
43599,1,1,40,39,2,95000
43600,1,2,43,37,2,57000
43601,7,1,37,17,2,1000
43602,7,2,0,11,-1,0
43603,1,1,43,39,2,175000
43604,1,2,43,39,2,50000
43605,7,2,0,11,-1,0
43606,7,2,0,8,-1,0
43607,1,1,43,42,2,58000
43608,1,2,44,38,2,56000
43609,7,1,0,5,-1,0
43610,7,2,0,1,-1,0
43611,5,2,36,42,2,3000
43612,7,1,36,17,2,5500
43613,7,2,0,4,-1,0
43614,6,2,43,61,2,0
43615,7,1,41,50,2,50000
43616,1,1,42,55,2,26000
43617,1,2,39,37,2,0
43618,7,2,0,14,-1,0
43619,7,1,0,12,-1,0
43620,7,1,0,8,-1,0
43621,7,1,0,4,-1,0
43622,7,1,40,40,2,35000
43623,7,2,0,10,-1,0
43624,1,1,43,49,2,-9999
43625,1,2,43,48,2,60000
43626,7,1,37,17,2,0
43627,7,1,0,11,-1,0
43628,5,2,43,30,2,60000
43629,7,1,0,4,-1,0
43630,7,1,0,2,-1,0
43631,7,2,0,2,-1,0
43632,5,1,39,45,2,50000
43633,1,1,39,79,2,0
43634,1,2,39,68,2,0
43635,7,1,0,9,-1,0
43636,1,1,39,52,2,89000
43637,1,2,39,52,2,57000
43638,6,2,37,63,2,0
43639,1,2,41,38,2,2000
43640,1,1,40,42,2,45000
43641,7,1,0,14,-1,0
43642,7,2,0,5,-1,0
43643,7,2,42,26,2,18840
43644,1,1,40,74,1,0
43645,1,2,39,62,2,0
43646,1,1,40,56,2,68000
43647,1,2,39,39,2,25000
43648,7,2,35,15,-1,0
43649,7,1,0,10,-1,0
43650,7,2,39,57,2,0
43651,5,1,41,66,1,0
43652,7,1,42,57,1,0
43653,4,1,39,85,1,0
43654,7,1,40,57,2,0
43655,4,2,39,68,2,0
43656,7,2,39,24,2,25000
43657,1,1,31,68,2,0
43658,1,2,31,59,2,0
43659,1,1,33,34,2,34000
43660,1,2,33,53,2,23000
43661,6,1,35,20,2,27000
43662,6,2,34,16,-1,0
43663,1,1,44,52,1,127000
43664,1,2,43,53,2,0
43665,5,2,40,57,2,0
43666,1,2,43,57,2,0
43667,1,1,44,57,2,135000
43668,4,1,39,74,1,0
43669,4,2,39,80,2,0
43670,1,2,43,27,2,30000
43671,1,1,43,26,2,45000
43672,5,2,37,67,2,40000
43673,7,2,31,37,2,0
43674,7,1,0,4,-1,0
43675,7,1,39,39,2,12000
43676,1,1,40,77,1,0
43677,1,2,40,50,2,35000
43678,7,2,39,73,2,4277
43679,5,1,40,60,2,45000
43680,5,2,39,57,2,0
43681,1,2,40,56,2,60000
43682,1,1,44,54,2,90000
43683,7,1,36,17,2,0
43684,1,2,43,41,2,41000
43685,1,1,40,44,2,38000
43686,7,1,40,21,2,17000
43687,7,1,40,19,2,16000
43688,7,1,37,17,2,7000
43689,7,1,34,15,-1,0
43690,1,2,45,53,2,100000
43691,1,1,45,52,2,225000
43692,7,1,37,19,2,0
43693,7,2,36,16,-1,0
43694,7,2,0,12,-1,0
43695,4,2,39,79,2,0
43696,5,1,40,65,2,68000
43697,7,1,39,30,2,80000
43698,1,1,39,72,1,0
43699,1,2,39,63,2,0
43700,7,2,39,39,2,35360
43701,7,2,35,15,-1,0
43702,1,1,43,48,2,300000
43703,1,2,43,49,2,200000
43704,7,2,35,16,-1,0
43705,1,1,43,72,2,78800
43706,1,2,42,70,2,0
43707,4,2,39,80,2,0
43708,1,1,42,36,2,80000
43709,1,2,39,36,2,13000
43710,1,1,44,36,2,71500
43711,1,2,40,34,2,5000
43712,7,1,0,1,-1,0
43713,7,1,0,0,-1,0
43714,1,1,39,74,2,0
43715,1,2,38,69,2,8000
43716,5,2,42,47,1,51200
43717,7,2,0,11,-1,0
43718,7,2,0,11,-1,0
43719,1,1,43,58,2,328378
43720,1,2,41,66,2,0
43721,1,2,44,41,2,73000
43722,1,1,43,42,2,110000
43723,7,1,0,11,-1,0
43724,7,1,0,8,-1,0
43725,7,2,0,3,-1,0
43726,1,1,42,43,2,53000
43727,1,2,43,41,2,30000
43728,7,1,40,20,2,15000
43729,7,2,40,18,2,7000
43730,7,1,0,10,-1,0
43731,7,2,0,9,-1,0
43732,1,1,44,75,2,126000
43733,1,2,40,69,2,0
43734,7,1,35,16,-1,0
43735,7,2,0,13,-1,0
43736,7,2,0,12,-1,0
43737,1,1,39,44,2,60000
43738,1,2,41,43,2,0
43739,7,1,38,19,2,0
43740,7,2,0,13,-1,0
43741,7,1,39,59,2,0
43742,7,1,34,65,1,4001
43743,5,1,39,60,1,0
43744,1,2,43,48,2,63000
43745,1,1,43,48,2,63000
43746,7,2,0,6,-1,0
43747,7,1,0,6,-1,0
43748,7,2,39,21,2,25000
43749,1,1,43,47,2,135000
43750,1,2,43,48,2,50000
43751,7,2,37,18,2,5000
43752,1,1,40,64,2,50000
43753,1,2,39,61,2,50000
43754,7,1,43,30,2,20000
43755,1,1,39,59,2,0
43756,1,2,43,51,2,46234
43757,7,1,37,18,2,0
43758,7,1,37,18,2,0
43759,7,2,36,18,2,0
43760,1,2,43,37,2,20000
43761,1,1,43,38,2,90000
43762,7,2,0,12,-1,0
43763,7,2,0,8,-1,0
43764,1,2,40,85,2,0
43765,1,1,39,85,1,0
43766,5,1,39,59,1,48000
43767,1,1,43,35,2,48000
43768,1,2,39,35,2,0
43769,7,1,0,11,-1,0
43770,7,2,0,3,-1,0
43771,7,2,0,3,-1,0
43772,1,1,32,67,2,0
43773,1,2,31,60,2,0
43774,1,2,41,60,2,19240
43775,1,1,43,61,2,64000
43776,1,2,36,35,2,0
43777,1,1,36,35,2,20000
43778,7,1,37,17,2,0
43779,7,2,0,12,-1,0
43780,7,1,0,11,-1,0
43781,7,1,0,10,-1,0
43782,7,1,0,4,-1,0
43783,7,1,0,1,-1,0
43784,1,1,41,71,1,0
43785,1,2,39,72,2,0
43786,1,1,40,66,2,0
43787,1,2,39,61,2,72500
43788,4,2,39,80,2,0
43789,1,2,42,31,2,20000
43790,1,1,43,34,1,106000
43791,7,1,0,0,-1,0
43792,5,1,37,73,2,0
43793,1,1,44,50,2,80000
43794,1,2,44,49,2,70000
43795,7,2,40,22,2,0
43796,7,1,40,19,2,2400
43797,1,2,43,54,2,100000
43798,1,1,39,58,2,55000
43799,7,1,40,19,2,10200
43800,7,1,36,17,2,0
43801,7,2,40,39,2,21800
43802,7,2,40,19,2,0
43803,7,1,37,16,-1,0
43804,7,2,0,2,-1,0
43805,5,1,35,48,2,10000
43806,5,2,40,49,2,9000
43807,7,2,42,34,2,40000
43808,7,1,0,9,-1,0
43809,7,1,0,7,-1,0
43810,7,2,0,5,-1,0
43811,7,2,0,2,-1,0
43812,1,2,40,60,2,2000
43813,1,1,43,54,2,48600
43814,7,2,39,22,2,37000
43815,4,2,39,77,2,0
43816,1,1,39,25,2,19000
43817,1,2,39,27,2,0
43818,7,1,0,4,-1,0
43819,1,2,46,32,2,75000
43820,1,1,43,35,2,240000
43821,7,1,0,3,-1,0
43822,7,1,0,1,-1,0
43823,1,1,40,30,2,50000
43824,1,2,44,28,2,50000
